cement,slag,ash,water,superplastic,coarseagg,fineagg,age,strength,converted_strength,converted_age,cement_normalized,slag_normalized,ash_normalized,water_normalized,superplastic_normalized,coarseagg_normalized,fineagg_normalized
141.3,212.0,0.0,203.5,0.0,971.8,748.5,28,29.89,2,5,0.08972602739726032,0.5898720089037285,0.0,0.6525559105431309,0.0,0.49651162790697656,0.3876066231811339
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,14,23.51,2,4,0.15273972602739727,0.11741791875347804,0.6211894052973513,0.2915335463258788,0.3354037267080745,0.8133720930232555,0.5072754641244357
250.0,0.0,95.7,187.4,5.5,956.9,861.2,28,29.22,2,5,0.33789954337899536,0.0,0.4782608695652174,0.5239616613418532,0.17080745341614906,0.4531976744186048,0.6703462117410941
266.0,114.0,0.0,228.0,0.0,932.0,670.0,28,45.85,4,5,0.37442922374429216,0.31719532554257096,0.0,0.8482428115015974,0.0,0.3808139534883721,0.19066733567486205
154.8,183.4,0.0,193.3,9.1,1047.4,696.7,28,18.29,1,5,0.12054794520547946,0.510294936004452,0.0,0.5710862619808308,0.2826086956521739,0.7162790697674422,0.2576517812343202
255.0,0.0,0.0,192.0,0.0,889.8,945.0,90,21.86,2,7,0.3493150684931507,0.0,0.0,0.560702875399361,0.0,0.25813953488372077,0.8805820371299549
166.8,250.2,0.0,203.5,0.0,975.6,692.6,7,15.75,1,3,0.14794520547945206,0.6961602671118531,0.0,0.6525559105431309,0.0,0.507558139534884,0.24736578023080802
251.4,0.0,118.3,188.5,6.4,1028.4,757.7,56,36.64,3,6,0.34109589041095895,0.0,0.5912043978010995,0.5327476038338659,0.19875776397515527,0.6610465116279074,0.4106874059207226
296.0,0.0,0.0,192.0,0.0,1085.0,765.0,28,21.65,2,5,0.4429223744292237,0.0,0.0,0.560702875399361,0.0,0.8255813953488373,0.4290015052684395
155.0,184.0,143.0,194.0,9.0,880.0,699.0,28,28.99,2,5,0.12100456621004568,0.511964385086255,0.7146426786606697,0.5766773162939298,0.2795031055900621,0.22965116279069786,0.2634219769192172
151.8,178.1,138.7,167.5,18.3,944.0,694.6,28,36.35,3,5,0.11369863013698633,0.4955481357818587,0.6931534232883558,0.3650159744408945,0.5683229813664595,0.4156976744186047,0.2523833416959358
173.0,116.0,0.0,192.0,0.0,946.8,856.8,3,6.94,1,2,0.16210045662100453,0.3227601558152477,0.0,0.560702875399361,0.0,0.4238372093023255,0.6593075765178125
385.0,0.0,0.0,186.0,0.0,966.0,763.0,14,27.92,2,4,0.6461187214611872,0.0,0.0,0.5127795527156549,0.0,0.47965116279069786,0.4239839438033117
237.5,237.5,0.0,228.0,0.0,932.0,594.0,7,26.26,2,3,0.3093607305936073,0.6608235948803562,0.0,0.8482428115015974,0.0,0.3808139534883721,0.0
