cement,water,superplastic,converted_age,converted_strength
141.3,203.5,0.0,5,2
168.9,158.3,10.8,4,2
250.0,187.4,5.5,5,2
266.0,228.0,0.0,5,4
154.8,193.3,9.1,5,1
255.0,192.0,0.0,7,2
166.8,203.5,0.0,3,1
251.4,188.5,6.4,6,3
296.0,192.0,0.0,5,2
155.0,194.0,9.0,5,2
151.8,167.5,18.3,5,3
173.0,192.0,0.0,2,1
385.0,186.0,0.0,4,2
237.5,228.0,0.0,3,2
167.0,185.0,7.0,5,2
213.8,181.7,6.7,9,4
237.5,228.0,0.0,5,3
336.0,182.0,3.0,5,4
190.7,162.1,7.8,2,1
312.7,178.1,8.0,5,2
229.7,195.2,6.1,2,1
228.0,185.7,0.0,3,2
236.0,192.0,0.0,3,2
132.0,179.0,5.0,5,3
331.0,192.0,0.0,5,3
310.0,168.0,10.0,5,4
304.0,228.0,0.0,7,4
425.0,153.5,16.5,8,5
166.1,176.5,4.5,5,2
255.0,189.0,6.0,5,3
339.0,197.0,0.0,5,3
475.0,228.0,0.0,5,3
145.7,181.9,3.4,5,2
313.0,127.0,8.0,5,4
331.0,192.0,0.0,7,3
178.0,179.9,3.6,5,3
165.0,163.8,0.0,4,1
277.2,160.7,11.2,4,4
325.0,184.0,0.0,3,1
167.0,164.0,7.9,5,4
194.7,170.2,7.5,4,2
246.8,143.3,12.0,6,5
382.0,185.0,0.0,5,3
149.0,183.0,7.0,5,2
531.3,141.8,28.2,8,5
387.0,157.0,11.6,6,5
193.5,185.7,0.0,3,1
326.0,199.0,11.0,5,4
337.9,174.9,9.5,5,4
425.0,153.5,16.5,2,3
200.0,190.0,0.0,5,4
331.0,192.0,0.0,11,3
218.9,158.5,11.3,6,3
234.0,189.0,5.9,5,3
309.9,167.8,22.1,5,3
350.0,186.0,0.0,3,2
182.0,170.2,8.2,9,4
480.0,192.0,0.0,3,3
295.7,171.5,8.9,4,3
250.0,187.4,5.5,9,4
178.0,179.9,3.6,2,2
233.8,197.9,4.6,2,1
194.7,165.6,7.5,9,3
379.5,153.9,15.9,6,5
332.5,228.0,0.0,14,4
350.0,203.0,0.0,6,2
237.0,247.0,6.0,5,2
238.1,186.7,7.0,9,4
295.7,171.5,8.9,9,5
323.7,183.8,10.3,3,4
200.0,192.0,0.0,2,1
342.0,228.0,0.0,7,5
388.6,157.9,12.1,2,2
147.8,171.2,2.2,5,2
290.4,168.1,9.4,6,4
500.0,200.0,0.0,4,3
284.0,179.0,5.5,3,2
165.0,175.1,8.1,2,1
218.2,140.8,11.9,2,2
168.9,158.3,10.8,6,3
190.3,161.9,9.9,5,2
116.0,192.0,0.0,7,3
277.0,191.0,0.0,7,3
376.0,214.6,0.0,9,4
236.0,194.0,0.0,4,1
273.0,199.0,11.0,5,3
500.0,140.0,4.0,5,5
212.5,159.3,8.7,4,2
362.6,164.9,11.6,2,3
275.1,159.5,9.9,2,2
139.6,192.0,0.0,3,1
362.6,164.9,11.6,3,5
182.0,170.2,8.2,4,2
427.5,228.0,0.0,11,4
183.9,203.5,0.0,2,1
475.0,142.0,1.9,5,5
362.6,164.9,11.6,5,5
318.8,155.7,14.3,3,3
252.0,194.0,8.0,5,3
237.5,228.0,0.0,11,3
149.5,175.8,12.6,5,3
540.0,162.0,2.5,5,5
313.0,178.0,8.0,5,3
380.0,228.0,0.0,11,5
251.4,192.9,5.8,2,1
436.0,218.0,0.0,5,2
155.0,193.0,9.0,5,1
281.0,186.0,0.0,3,1
151.6,184.4,7.9,5,1
326.5,199.0,10.8,5,3
397.0,167.0,20.8,5,5
238.0,186.0,0.0,3,1
158.6,175.1,15.0,5,2
385.0,186.0,0.0,5,3
302.0,203.0,0.0,4,1
192.0,192.0,0.0,2,1
155.6,180.3,10.7,5,3
160.0,182.0,6.4,5,3
222.4,189.3,4.5,6,2
251.8,146.1,12.4,4,3
331.0,192.0,0.0,3,1
250.0,191.8,5.3,6,3
155.0,193.0,9.0,5,2
213.5,154.6,11.7,5,4
446.0,162.0,11.6,6,5
133.0,196.0,3.0,5,3
122.6,203.5,0.0,7,3
290.2,185.7,0.0,3,2
323.7,183.8,10.3,5,5
375.0,126.6,23.4,8,5
181.4,169.6,7.6,5,2
298.2,209.7,11.1,5,3
236.0,193.0,0.0,3,1
236.0,193.0,0.0,14,2
339.0,197.0,0.0,2,1
387.0,157.0,14.3,6,5
166.8,203.5,0.0,7,4
387.0,157.0,13.9,5,4
133.0,192.0,0.0,2,1
162.0,202.0,10.0,5,3
262.0,195.0,5.0,5,3
213.7,181.7,6.9,4,3
332.5,228.0,0.0,7,3
313.3,175.5,8.6,3,4
302.0,203.0,0.0,11,2
183.9,203.5,0.0,7,3
500.0,200.0,0.0,3,3
218.2,140.8,11.9,5,5
387.0,157.0,11.6,5,4
380.0,228.0,0.0,12,4
213.5,159.2,11.7,4,2
160.0,203.0,11.0,5,3
322.0,203.0,0.0,11,2
173.5,164.8,6.5,4,3
252.0,186.0,0.0,3,1
299.8,211.5,9.9,5,2
531.3,141.8,28.2,5,5
198.6,192.0,0.0,13,4
116.0,192.0,0.0,5,2
304.0,228.0,0.0,14,5
331.0,192.0,0.0,5,3
286.3,144.7,11.2,5,5
349.0,192.0,0.0,3,1
520.0,170.0,5.2,5,5
252.1,193.8,8.3,5,3
255.5,185.7,0.0,3,1
446.0,162.0,11.6,5,4
172.4,156.8,4.1,9,3
190.7,162.1,7.8,6,3
322.0,186.0,8.0,5,5
446.0,162.0,11.6,5,5
178.0,179.9,3.6,6,4
212.1,180.3,5.7,2,1
276.0,180.0,9.0,5,4
393.0,192.0,0.0,7,4
238.1,185.7,0.0,5,1
230.0,195.5,4.6,2,1
389.9,145.9,22.0,2,4
157.0,192.0,0.0,7,4
296.0,192.0,0.0,3,1
230.0,195.5,4.6,5,2
359.0,154.0,10.9,5,5
374.0,170.1,10.1,6,5
102.0,192.0,0.0,3,1
202.0,206.0,1.7,2,1
350.0,203.0,0.0,4,2
236.0,192.0,0.0,5,3
252.0,185.0,0.0,3,1
252.3,146.3,14.2,9,5
336.5,181.9,3.4,5,4
362.6,164.9,11.6,6,5
218.2,140.8,11.9,6,5
315.0,145.0,5.9,5,5
159.0,201.0,7.0,5,3
154.8,193.3,9.1,5,2
281.0,186.0,0.0,5,2
231.8,174.0,6.7,4,2
318.8,155.7,14.3,8,5
266.0,228.0,0.0,14,5
277.0,191.0,0.0,11,3
166.8,203.5,0.0,5,3
159.8,168.4,12.2,5,3
397.0,185.7,0.0,3,2
231.8,174.0,6.7,9,4
164.6,181.6,11.7,5,1
122.6,203.5,0.0,5,2
136.4,171.6,10.4,5,2
190.0,228.0,0.0,11,4
337.9,174.9,9.5,6,5
349.0,192.0,0.0,7,3
184.0,213.0,6.0,5,2
424.0,178.0,8.5,3,3
379.5,153.9,15.9,5,5
212.0,159.0,7.8,2,1
156.0,180.0,11.0,5,3
136.0,199.0,6.0,5,2
246.8,143.3,12.0,9,5
203.5,185.7,0.0,3,1
385.0,186.0,0.0,2,1
181.4,169.6,7.6,2,1
254.0,198.0,0.0,7,2
359.0,154.0,10.9,2,2
230.0,195.5,4.6,9,3
382.0,186.0,0.0,3,2
220.8,185.7,0.0,5,2
313.3,178.5,8.0,5,3
167.4,175.5,7.8,6,5
144.0,192.0,8.0,5,2
310.0,192.0,0.0,7,3
425.0,151.4,18.6,6,5
108.3,203.5,0.0,2,1
214.9,155.6,9.6,2,1
469.0,137.8,32.2,6,5
310.0,192.0,0.0,5,2
522.0,146.0,0.0,3,5
236.0,194.0,0.0,2,1
213.7,181.7,6.9,2,1
250.2,203.5,0.0,2,1
149.0,192.0,8.0,5,2
439.0,186.0,11.1,6,5
313.0,178.0,8.0,5,4
427.5,228.0,0.0,7,4
165.0,163.8,0.0,5,2
322.5,185.8,8.5,5,5
393.0,192.0,0.0,7,4
362.6,164.9,11.6,8,5
122.6,203.5,0.0,2,1
213.7,154.8,10.2,5,4
200.0,180.0,0.0,5,1
108.3,203.5,0.0,7,2
213.8,181.7,6.7,5,4
290.4,168.1,9.4,5,3
153.0,200.0,6.0,5,2
229.7,195.2,6.1,6,3
251.4,192.9,5.8,5,3
322.0,203.0,0.0,4,2
525.0,189.0,0.0,12,5
389.9,145.9,22.0,6,5
252.3,146.3,14.2,4,4
475.0,181.1,8.9,2,3
259.9,170.6,10.4,5,4
310.0,192.0,0.0,3,1
266.0,228.0,0.0,12,5
236.9,246.9,6.0,5,2
366.0,191.3,6.6,5,5
333.0,192.0,0.0,2,1
326.0,174.0,9.0,5,5
145.9,202.5,3.4,5,3
133.0,192.0,0.0,3,1
251.4,188.5,5.8,6,3
500.0,200.0,0.0,12,5
154.8,193.3,9.1,5,1
349.0,192.0,0.0,10,4
389.9,145.9,22.0,5,5
162.0,178.8,18.8,5,3
277.1,160.6,11.8,9,5
166.0,183.0,13.0,5,3
277.0,190.6,7.0,5,4
425.0,153.5,16.5,2,3
439.0,186.0,11.1,5,5
540.0,173.0,0.0,2,4
480.0,192.0,0.0,5,4
382.0,186.0,0.0,5,3
475.0,228.0,0.0,7,4
143.0,191.0,8.0,5,2
203.5,203.5,0.0,7,5
374.0,170.1,10.1,8,5
181.9,185.7,0.0,3,1
153.0,178.0,8.0,5,2
450.1,200.0,3.0,5,3
238.0,186.0,0.0,5,1
380.0,228.0,0.0,7,5
469.0,137.8,32.2,8,5
528.0,185.0,6.9,5,5
238.2,185.7,0.0,5,2
186.2,185.7,0.0,5,1
212.6,159.4,10.4,5,3
475.0,228.0,0.0,12,4
425.0,153.5,16.5,2,3
198.6,192.0,0.0,2,1
491.0,201.0,3.9,3,3
277.1,160.6,11.8,6,5
342.0,228.0,0.0,11,5
387.0,157.0,13.9,3,4
152.6,200.0,6.3,5,2
281.0,185.0,0.0,5,2
198.6,192.0,0.0,7,3
491.0,210.0,3.9,5,5
290.4,168.1,9.4,4,3
144.0,158.0,18.0,5,1
246.8,143.3,12.0,4,4
252.5,185.7,0.0,5,1
236.0,193.0,0.0,11,2
540.0,173.0,0.0,12,5
295.0,185.0,0.0,3,1
