cement,water,superplastic,age,cement_slag,cement_ash,water_fineagg,ash_superplastic,strength
141.3,203.5,0.0,28,-2481.550406398898,-2658.29903365507,-771.5749248209686,144.32245473501473,29.89
168.9,158.3,10.8,14,-2481.550406398898,-2658.29903365507,-771.5749248209686,144.32245473501473,23.51
250.0,187.4,5.5,28,-2481.550406398898,-2658.29903365507,-771.5749248209686,144.32245473501473,29.22
266.0,228.0,0.0,28,-2481.550406398898,-2658.29903365507,-771.5749248209686,144.32245473501473,45.85
154.8,193.3,9.1,28,-2481.550406398898,-2658.29903365507,-771.5749248209686,144.32245473501473,18.29
255.0,192.0,0.0,90,-2481.550406398898,-2658.29903365507,-771.5749248209686,144.32245473501473,21.86
166.8,203.5,0.0,7,-2481.550406398898,-2658.29903365507,-771.5749248209686,144.32245473501473,15.75
251.4,188.5,6.4,56,-2481.550406398898,-2658.29903365507,-771.5749248209686,144.32245473501473,36.64
296.0,192.0,0.0,28,-2481.550406398898,-2658.29903365507,-771.5749248209686,144.32245473501473,21.65
155.0,194.0,9.0,28,-2481.550406398898,-2658.29903365507,-771.5749248209686,144.32245473501473,28.99
151.8,167.5,18.3,28,-2481.550406398898,-2658.29903365507,-771.5749248209686,144.32245473501473,36.35
173.0,192.0,0.0,3,-2481.550406398898,-2658.29903365507,-771.5749248209686,144.32245473501473,6.94
385.0,186.0,0.0,14,-2481.550406398898,-2658.29903365507,-771.5749248209686,144.32245473501473,27.92
237.5,228.0,0.0,7,-2481.550406398898,-2658.29903365507,-771.5749248209686,144.32245473501473,26.26
167.0,185.0,7.0,28,-2481.550406398898,-2658.29903365507,-771.5749248209686,144.32245473501473,23.89
213.8,181.7,6.7,100,-2481.550406398898,-2658.29903365507,-771.5749248209686,144.32245473501473,49.97
237.5,228.0,0.0,28,-2481.550406398898,-2658.29903365507,-771.5749248209686,144.32245473501473,30.08
336.0,182.0,3.0,28,-2481.550406398898,-2658.29903365507,-771.5749248209686,144.32245473501473,44.86
190.7,162.1,7.8,3,-2481.550406398898,-2658.29903365507,-771.5749248209686,144.32245473501473,15.04
312.7,178.1,8.0,28,-2481.550406398898,-2658.29903365507,-771.5749248209686,144.32245473501473,25.1
229.7,195.2,6.1,3,-2481.550406398898,-2658.29903365507,-771.5749248209686,144.32245473501473,13.36
228.0,185.7,0.0,7,-2481.550406398898,-2658.29903365507,-771.5749248209686,144.32245473501473,21.92
236.0,192.0,0.0,7,-2481.550406398898,-2658.29903365507,-771.5749248209686,144.32245473501473,20.42
132.0,179.0,5.0,28,-2481.550406398898,-2658.29903365507,-771.5749248209686,144.32245473501473,33.3
331.0,192.0,0.0,28,-2481.550406398898,-2658.29903365507,-771.5749248209686,144.32245473501473,31.74
310.0,168.0,10.0,28,-2481.550406398898,-2658.29903365507,-771.5749248209686,144.32245473501473,45.3
304.0,228.0,0.0,90,-2481.550406398898,-2658.29903365507,-771.5749248209686,144.32245473501473,49.19
425.0,153.5,16.5,91,-2481.550406398898,-2658.29903365507,-771.5749248209686,144.32245473501473,65.2
166.1,176.5,4.5,28,-2481.550406398898,-2658.29903365507,-771.5749248209686,144.32245473501473,21.54
255.0,189.0,6.0,28,-2481.550406398898,-2658.29903365507,-771.5749248209686,144.32245473501473,33.8
339.0,197.0,0.0,28,-2481.550406398898,-2658.29903365507,-771.5749248209686,144.32245473501473,32.04
475.0,228.0,0.0,28,-2481.550406398898,-2658.29903365507,-771.5749248209686,144.32245473501473,39.29
145.7,181.9,3.4,28,-2481.550406398898,-2658.29903365507,-771.5749248209686,144.32245473501473,23.74
313.0,127.0,8.0,28,-2481.550406398898,-2658.29903365507,-771.5749248209686,144.32245473501473,44.52
331.0,192.0,0.0,90,-2481.550406398898,-2658.29903365507,-771.5749248209686,144.32245473501473,37.91
178.0,179.9,3.6,28,-2481.550406398898,-2658.29903365507,-771.5749248209686,144.32245473501473,39.16
165.0,163.8,0.0,14,-2481.550406398898,-2658.29903365507,-771.5749248209686,144.32245473501473,16.88
277.2,160.7,11.2,14,-2481.550406398898,-2658.29903365507,-771.5749248209686,144.32245473501473,47.71
325.0,184.0,0.0,7,-2481.550406398898,-2658.29903365507,-771.5749248209686,144.32245473501473,17.54
167.0,164.0,7.9,28,-2481.550406398898,-2658.29903365507,-771.5749248209686,144.32245473501473,41.41
194.7,170.2,7.5,14,-2481.550406398898,-2658.29903365507,-771.5749248209686,144.32245473501473,24.28
246.8,143.3,12.0,56,-2481.550406398898,-2658.29903365507,-771.5749248209686,144.32245473501473,60.32
382.0,185.0,0.0,28,-2481.550406398898,-2658.29903365507,-771.5749248209686,144.32245473501473,37.42
149.0,183.0,7.0,28,-2481.550406398898,-2658.29903365507,-771.5749248209686,144.32245473501473,23.52
531.3,141.8,28.2,91,-2481.550406398898,-2658.29903365507,-771.5749248209686,144.32245473501473,59.2
387.0,157.0,11.6,56,-2481.550406398898,-2658.29903365507,-771.5749248209686,144.32245473501473,61.46
193.5,185.7,0.0,7,-2481.550406398898,-2658.29903365507,-771.5749248209686,144.32245473501473,17.2
326.0,199.0,11.0,28,-2481.550406398898,-2658.29903365507,-771.5749248209686,144.32245473501473,40.68
